,State,Year,State_Minimum_Wage,Federal_Minimum_Wage,Victim_Count
512,Missouri,2000,5.15,5.15,70.0
513,Montana,2000,4.0,5.15,19.0
514,Nebraska,2000,5.15,5.15,17.0
515,Nevada,2000,5.15,5.15,85.0
516,New Hampshire,2000,5.15,5.15,32.0
517,New Jersey,2000,5.15,5.15,652.0
518,New Mexico,2000,4.25,5.15,15.0
519,New York,2000,4.25,5.15,608.0
520,North Carolina,2000,5.15,5.15,39.0
521,North Dakota,2000,5.15,5.15,5.0
522,Ohio,2000,2.8,5.15,255.0
523,Oklahoma,2000,2.0,5.15,80.0
524,Oregon,2000,6.5,5.15,142.0
525,Pennsylvania,2000,5.15,5.15,141.0
526,Puerto Rico,2000,3.61,5.15,0.0
527,Rhode Island,2000,5.65,5.15,48.0
528,South Carolina,2000,0.0,5.15,36.0
529,South Dakota,2000,5.15,5.15,9.0
530,Tennessee,2000,0.0,5.15,236.0
531,Texas,2000,3.35,5.15,287.0
532,U.S. Virgin Islands,2000,4.3,5.15,0.0
533,Utah,2000,5.15,5.15,75.0
534,Vermont,2000,5.75,5.15,19.0
535,Virginia,2000,5.15,5.15,324.0
536,Washington,2000,6.5,5.15,242.0
537,West Virginia,2000,5.15,5.15,74.0
538,Wisconsin,2000,5.15,5.15,47.0
539,Wyoming,2000,1.6,5.15,9.0
540,Alabama,2001,0.0,5.15,0.0
541,Alaska,2001,5.65,5.15,20.0
542,Arizona,2001,0.0,5.15,386.0
543,Arkansas,2001,5.15,5.15,3.0
544,California,2001,6.25,5.15,2246.0
545,Colorado,2001,5.15,5.15,126.0
546,Connecticut,2001,6.4,5.15,171.0
547,Delaware,2001,6.15,5.15,17.0
548,District of Columbia,2001,6.15,5.15,12.0
549,Florida,2001,0.0,5.15,302.0
550,Georgia,2001,3.25,5.15,39.0
551,Guam,2001,5.15,5.15,0.0
552,Hawaii,2001,5.25,5.15,0.0
553,Idaho,2001,5.15,5.15,34.0
554,Illinois,2001,5.15,5.15,282.0
555,Indiana,2001,5.15,5.15,139.0
556,Iowa,2001,5.15,5.15,32.0
557,Kansas,2001,2.65,5.15,82.0
558,Kentucky,2001,5.15,5.15,83.0
559,Louisiana,2001,0.0,5.15,10.0
560,Maine,2001,5.15,5.15,32.0
561,Maryland,2001,5.15,5.15,240.0
562,Massachusetts,2001,6.75,5.15,591.0
563,Michigan,2001,5.15,5.15,442.0
564,Minnesota,2001,4.9,5.15,208.0
565,Mississippi,2001,0.0,5.15,3.0
566,Missouri,2001,5.15,5.15,91.0
567,Montana,2001,4.0,5.15,13.0
568,Nebraska,2001,5.15,5.15,54.0
569,Nevada,2001,5.15,5.15,94.0
570,New Hampshire,2001,5.15,5.15,27.0
571,New Jersey,2001,5.15,5.15,767.0
572,New Mexico,2001,4.25,5.15,20.0
573,New York,2001,5.15,5.15,712.0
574,North Carolina,2001,5.15,5.15,84.0
575,North Dakota,2001,5.15,5.15,16.0
576,Ohio,2001,2.8,5.15,363.0
577,Oklahoma,2001,2.0,5.15,46.0
578,Oregon,2001,6.5,5.15,222.0
579,Pennsylvania,2001,5.15,5.15,141.0
580,Puerto Rico,2001,3.61,5.15,0.0
581,Rhode Island,2001,6.15,5.15,63.0
582,South Carolina,2001,0.0,5.15,57.0
583,South Dakota,2001,5.15,5.15,5.0
584,Tennessee,2001,0.0,5.15,190.0
585,Texas,2001,3.35,5.15,436.0
586,U.S. Virgin Islands,2001,4.3,5.15,0.0
587,Utah,2001,5.15,5.15,66.0
588,Vermont,2001,6.25,5.15,17.0
589,Virginia,2001,5.15,5.15,357.0
590,Washington,2001,6.72,5.15,278.0
591,West Virginia,2001,5.15,5.15,40.0
592,Wisconsin,2001,5.15,5.15,61.0
593,Wyoming,2001,1.6,5.15,10.0
594,Alabama,2002,0.0,5.15,2.0
595,Alaska,2002,5.65,5.15,7.0
596,Arizona,2002,0.0,5.15,241.0
597,Arkansas,2002,5.15,5.15,0.0
598,California,2002,6.75,5.15,1648.0
599,Colorado,2002,5.15,5.15,96.0
600,Connecticut,2002,6.7,5.15,140.0
601,Delaware,2002,6.15,5.15,13.0
602,District of Columbia,2002,6.15,5.15,14.0
603,Florida,2002,0.0,5.15,257.0
604,Georgia,2002,5.15,5.15,31.0
605,Guam,2002,5.15,5.15,0.0
606,Hawaii,2002,5.75,5.15,0.0
607,Idaho,2002,5.15,5.15,43.0
608,Illinois,2002,5.15,5.15,158.0
609,Indiana,2002,5.15,5.15,78.0
610,Iowa,2002,5.15,5.15,47.0
611,Kansas,2002,2.65,5.15,56.0
612,Kentucky,2002,5.15,5.15,79.0
613,Louisiana,2002,0.0,5.15,15.0
614,Maine,2002,5.75,5.15,36.0
615,Maryland,2002,5.15,5.15,217.0
616,Massachusetts,2002,6.75,5.15,427.0
617,Michigan,2002,5.15,5.15,421.0
618,Minnesota,2002,4.9,5.15,203.0
619,Mississippi,2002,0.0,5.15,3.0
620,Missouri,2002,5.15,5.15,65.0
621,Montana,2002,4.0,5.15,13.0
622,Nebraska,2002,5.15,5.15,56.0
623,Nevada,2002,5.15,5.15,62.0
624,New Hampshire,2002,5.15,5.15,30.0
625,New Jersey,2002,5.15,5.15,570.0
626,New Mexico,2002,4.25,5.15,15.0
627,New York,2002,5.15,5.15,693.0
628,North Carolina,2002,5.15,5.15,62.0
629,North Dakota,2002,5.15,5.15,18.0
630,Ohio,2002,2.8,5.15,265.0
631,Oklahoma,2002,2.0,5.15,44.0
632,Oregon,2002,6.5,5.15,61.0
633,Pennsylvania,2002,5.15,5.15,96.0
634,Puerto Rico,2002,3.61,5.15,0.0
635,Rhode Island,2002,6.15,5.15,38.0
636,South Carolina,2002,0.0,5.15,71.0
637,South Dakota,2002,5.15,5.15,4.0
638,Tennessee,2002,0.0,5.15,130.0
639,Texas,2002,5.15,5.15,343.0
640,U.S. Virgin Islands,2002,4.3,5.15,0.0
641,Utah,2002,5.15,5.15,54.0
642,Vermont,2002,6.25,5.15,18.0
643,Virginia,2002,5.15,5.15,291.0
644,Washington,2002,6.9,5.15,173.0
645,West Virginia,2002,5.15,5.15,42.0
646,Wisconsin,2002,5.15,5.15,34.0
647,Wyoming,2002,5.15,5.15,5.0
648,Alabama,2003,0.0,5.15,1.0
649,Alaska,2003,7.15,5.15,13.0
650,Arizona,2003,0.0,5.15,247.0
651,Arkansas,2003,5.15,5.15,173.0
652,California,2003,6.75,5.15,1472.0
653,Colorado,2003,5.15,5.15,86.0
654,Connecticut,2003,6.9,5.15,147.0
655,Delaware,2003,6.15,5.15,20.0
656,District of Columbia,2003,6.15,5.15,32.0
657,Florida,2003,0.0,5.15,231.0
658,Georgia,2003,5.15,5.15,23.0
659,Guam,2003,5.15,5.15,0.0
660,Hawaii,2003,6.25,5.15,0.0
661,Idaho,2003,5.15,5.15,20.0
662,Illinois,2003,5.15,5.15,208.0
663,Indiana,2003,5.15,5.15,65.0
664,Iowa,2003,5.15,5.15,38.0
665,Kansas,2003,2.65,5.15,49.0
666,Kentucky,2003,5.15,5.15,81.0
667,Louisiana,2003,0.0,5.15,6.0
668,Maine,2003,6.25,5.15,77.0
669,Maryland,2003,5.15,5.15,248.0
670,Massachusetts,2003,6.75,5.15,401.0
671,Michigan,2003,5.15,5.15,421.0
672,Minnesota,2003,4.9,5.15,215.0
673,Mississippi,2003,0.0,5.15,1.0
674,Missouri,2003,5.15,5.15,55.0
675,Montana,2003,4.0,5.15,5.0
676,Nebraska,2003,5.15,5.15,44.0
677,Nevada,2003,5.15,5.15,97.0
678,New Hampshire,2003,5.15,5.15,32.0
679,New Jersey,2003,5.15,5.15,594.0
680,New Mexico,2003,4.25,5.15,11.0
681,New York,2003,5.15,5.15,603.0
682,North Carolina,2003,5.15,5.15,77.0
683,North Dakota,2003,5.15,5.15,10.0
684,Ohio,2003,2.8,5.15,244.0
685,Oklahoma,2003,2.0,5.15,38.0
686,Oregon,2003,6.9,5.15,103.0
687,Pennsylvania,2003,5.15,5.15,118.0
688,Puerto Rico,2003,3.61,5.15,0.0
689,Rhode Island,2003,6.15,5.15,45.0
690,South Carolina,2003,0.0,5.15,64.0
691,South Dakota,2003,5.15,5.15,10.0
692,Tennessee,2003,0.0,5.15,161.0
693,Texas,2003,5.15,5.15,290.0
694,U.S. Virgin Islands,2003,4.3,5.15,0.0
695,Utah,2003,5.15,5.15,60.0
696,Vermont,2003,6.25,5.15,27.0
697,Virginia,2003,5.15,5.15,285.0
698,Washington,2003,7.01,5.15,223.0
699,West Virginia,2003,5.15,5.15,31.0
700,Wisconsin,2003,5.15,5.15,31.0
701,Wyoming,2003,5.15,5.15,12.0
702,Alabama,2004,0.0,5.15,3.0
703,Alaska,2004,7.15,5.15,9.0
704,Arizona,2004,0.0,5.15,225.0
705,Arkansas,2004,5.15,5.15,83.0
706,California,2004,6.75,5.15,1393.0
707,Colorado,2004,5.15,5.15,60.0
708,Connecticut,2004,7.1,5.15,120.0
709,Delaware,2004,6.15,5.15,37.0
710,District of Columbia,2004,6.15,5.15,49.0
711,Florida,2004,0.0,5.15,274.0
712,Georgia,2004,5.15,5.15,29.0
713,Guam,2004,5.15,5.15,0.0
714,Hawaii,2004,6.25,5.15,0.0
715,Idaho,2004,5.15,5.15,37.0
716,Illinois,2004,5.5,5.15,188.0
717,Indiana,2004,5.15,5.15,82.0
718,Iowa,2004,5.15,5.15,27.0
719,Kansas,2004,2.65,5.15,49.0
720,Kentucky,2004,5.15,5.15,71.0
721,Louisiana,2004,0.0,5.15,24.0
722,Maine,2004,6.25,5.15,68.0
723,Maryland,2004,5.15,5.15,245.0
724,Massachusetts,2004,6.75,5.15,358.0
725,Michigan,2004,5.15,5.15,559.0
726,Minnesota,2004,4.9,5.15,239.0
727,Mississippi,2004,0.0,5.15,2.0
728,Missouri,2004,5.15,5.15,71.0
729,Montana,2004,4.0,5.15,50.0
730,Nebraska,2004,5.15,5.15,59.0
731,Nevada,2004,5.15,5.15,81.0
732,New Hampshire,2004,5.15,5.15,49.0
733,New Jersey,2004,5.15,5.15,769.0
734,New Mexico,2004,5.15,5.15,22.0
735,New York,2004,5.15,5.15,386.0
736,North Carolina,2004,5.15,5.15,67.0
737,North Dakota,2004,5.15,5.15,10.0
738,Ohio,2004,2.8,5.15,354.0
739,Oklahoma,2004,2.0,5.15,51.0
740,Oregon,2004,7.05,5.15,155.0
741,Pennsylvania,2004,5.15,5.15,99.0
742,Puerto Rico,2004,3.61,5.15,0.0
743,Rhode Island,2004,6.75,5.15,29.0
744,South Carolina,2004,0.0,5.15,102.0
745,South Dakota,2004,5.15,5.15,7.0
746,Tennessee,2004,0.0,5.15,136.0
747,Texas,2004,5.15,5.15,297.0
748,U.S. Virgin Islands,2004,4.3,5.15,0.0
749,Utah,2004,5.15,5.15,60.0
750,Vermont,2004,6.75,5.15,28.0
751,Virginia,2004,5.15,5.15,310.0
752,Washington,2004,7.16,5.15,175.0
753,West Virginia,2004,5.15,5.15,45.0
754,Wisconsin,2004,5.15,5.15,38.0
755,Wyoming,2004,5.15,5.15,4.0
756,Alabama,2005,0.0,5.15,0.0
757,Alaska,2005,7.15,5.15,4.0
758,Arizona,2005,0.0,5.15,194.0
759,Arkansas,2005,5.15,5.15,135.0
760,California,2005,6.75,5.15,1380.0
761,Colorado,2005,5.15,5.15,125.0
762,Connecticut,2005,7.1,5.15,103.0
763,Delaware,2005,6.15,5.15,49.0
764,District of Columbia,2005,6.6,5.15,49.0
765,Florida,2005,0.0,5.15,231.0
766,Georgia,2005,5.15,5.15,17.0
767,Guam,2005,5.15,5.15,0.0
768,Hawaii,2005,6.25,5.15,0.0
769,Idaho,2005,5.15,5.15,28.0
770,Illinois,2005,6.5,5.15,168.0
771,Indiana,2005,5.15,5.15,54.0
772,Iowa,2005,5.15,5.15,31.0
773,Kansas,2005,2.65,5.15,73.0
774,Kentucky,2005,5.15,5.15,46.0
775,Louisiana,2005,0.0,5.15,17.0
776,Maine,2005,6.35,5.15,57.0
777,Maryland,2005,5.15,5.15,195.0
778,Massachusetts,2005,6.75,5.15,374.0
779,Michigan,2005,5.15,5.15,607.0
780,Minnesota,2005,4.9,5.15,206.0
781,Mississippi,2005,0.0,5.15,0.0
782,Missouri,2005,5.15,5.15,78.0
783,Montana,2005,4.0,5.15,65.0
784,Nebraska,2005,5.15,5.15,71.0
785,Nevada,2005,5.15,5.15,77.0
786,New Hampshire,2005,5.15,5.15,33.0
787,New Jersey,2005,5.15,5.15,738.0
788,New Mexico,2005,5.15,5.15,18.0
789,New York,2005,6.0,5.15,498.0
790,North Carolina,2005,5.15,5.15,89.0
791,North Dakota,2005,5.15,5.15,12.0
792,Ohio,2005,2.8,5.15,191.0
793,Oklahoma,2005,2.0,5.15,41.0
794,Oregon,2005,7.25,5.15,138.0
795,Pennsylvania,2005,5.15,5.15,80.0
796,Puerto Rico,2005,3.61,5.15,0.0
797,Rhode Island,2005,6.75,5.15,15.0
798,South Carolina,2005,0.0,5.15,98.0
799,South Dakota,2005,5.15,5.15,9.0
800,Tennessee,2005,0.0,5.15,120.0
801,Texas,2005,5.15,5.15,264.0
802,U.S. Virgin Islands,2005,4.3,5.15,0.0
803,Utah,2005,5.15,5.15,41.0
804,Vermont,2005,7.0,5.15,34.0
805,Virginia,2005,5.15,5.15,293.0
806,Washington,2005,7.35,5.15,171.0
807,West Virginia,2005,5.15,5.15,46.0
808,Wisconsin,2005,5.15,5.15,45.0
809,Wyoming,2005,5.15,5.15,3.0
810,Alabama,2006,0.0,5.15,0.0
811,Alaska,2006,7.15,5.15,6.0
812,Arizona,2006,0.0,5.15,169.0
813,Arkansas,2006,5.15,5.15,113.0
814,California,2006,6.75,5.15,1297.0
815,Colorado,2006,5.15,5.15,140.0
816,Connecticut,2006,7.4,5.15,127.0
817,Delaware,2006,6.15,5.15,49.0
818,District of Columbia,2006,7.0,5.15,57.0
819,Florida,2006,6.4,5.15,216.0
820,Georgia,2006,5.15,5.15,13.0
821,Guam,2006,5.15,5.15,4.0
822,Hawaii,2006,6.75,5.15,0.0
823,Idaho,2006,5.15,5.15,22.0
824,Illinois,2006,6.5,5.15,156.0
825,Indiana,2006,5.15,5.15,40.0
826,Iowa,2006,5.15,5.15,29.0
827,Kansas,2006,2.65,5.15,111.0
828,Kentucky,2006,5.15,5.15,66.0
829,Louisiana,2006,0.0,5.15,22.0
830,Maine,2006,6.5,5.15,57.0
831,Maryland,2006,5.15,5.15,212.0
832,Massachusetts,2006,6.75,5.15,384.0
833,Michigan,2006,5.15,5.15,614.0
834,Minnesota,2006,5.25,5.15,137.0
835,Mississippi,2006,0.0,5.15,0.0
836,Missouri,2006,5.15,5.15,82.0
837,Montana,2006,4.0,5.15,24.0
838,Nebraska,2006,5.15,5.15,56.0
839,Nevada,2006,5.15,5.15,125.0
840,New Hampshire,2006,5.15,5.15,38.0
841,New Jersey,2006,6.15,5.15,760.0
842,New Mexico,2006,5.15,5.15,20.0
843,New York,2006,6.75,5.15,522.0
844,North Carolina,2006,5.15,5.15,100.0
845,North Dakota,2006,5.15,5.15,16.0
846,Ohio,2006,2.8,5.15,305.0
847,Oklahoma,2006,2.0,5.15,51.0
848,Oregon,2006,7.5,5.15,144.0
849,Pennsylvania,2006,5.15,5.15,87.0
850,Puerto Rico,2006,3.61,5.15,0.0
851,Rhode Island,2006,6.75,5.15,19.0
852,South Carolina,2006,0.0,5.15,82.0
853,South Dakota,2006,5.15,5.15,88.0
854,Tennessee,2006,0.0,5.15,206.0
855,Texas,2006,5.15,5.15,243.0
856,U.S. Virgin Islands,2006,4.3,5.15,0.0
857,Utah,2006,5.15,5.15,37.0
858,Vermont,2006,7.25,5.15,27.0
859,Virginia,2006,5.15,5.15,341.0
860,Washington,2006,7.63,5.15,177.0
861,West Virginia,2006,5.15,5.15,35.0
862,Wisconsin,2006,5.7,5.15,85.0
863,Wyoming,2006,5.15,5.15,5.0
864,Alabama,2007,0.0,5.15,7.0
865,Alaska,2007,7.15,5.15,8.0
866,Arizona,2007,6.75,5.15,161.0
867,Arkansas,2007,6.25,5.15,33.0
868,California,2007,7.5,5.15,1400.0
869,Colorado,2007,6.85,5.15,158.0
870,Connecticut,2007,7.65,5.15,144.0
871,Delaware,2007,6.65,5.15,49.0
872,District of Columbia,2007,7.0,5.15,41.0
873,Florida,2007,6.67,5.15,166.0
874,Georgia,2007,5.15,5.15,13.0
875,Guam,2007,5.15,5.15,0.0
876,Hawaii,2007,7.25,5.15,0.0
877,Idaho,2007,5.15,5.15,38.0
878,Illinois,2007,7.5,5.15,167.0
879,Indiana,2007,5.15,5.15,41.0
880,Iowa,2007,5.15,5.15,28.0
881,Kansas,2007,2.65,5.15,111.0
882,Kentucky,2007,5.15,5.15,49.0
883,Louisiana,2007,0.0,5.15,31.0
884,Maine,2007,6.75,5.15,72.0
885,Maryland,2007,6.15,5.15,151.0
886,Massachusetts,2007,7.5,5.15,353.0
887,Michigan,2007,6.95,5.15,636.0
888,Minnesota,2007,5.25,5.15,157.0
889,Mississippi,2007,0.0,5.15,0.0
890,Missouri,2007,6.5,5.15,114.0
891,Montana,2007,4.0,5.15,21.0
892,Nebraska,2007,5.15,5.15,45.0
893,Nevada,2007,6.15,5.15,63.0
894,New Hampshire,2007,5.15,5.15,48.0
895,New Jersey,2007,7.15,5.15,748.0
896,New Mexico,2007,5.15,5.15,14.0
897,New York,2007,7.15,5.15,498.0
898,North Carolina,2007,6.15,5.15,75.0
899,North Dakota,2007,5.15,5.15,14.0
900,Ohio,2007,6.85,5.15,306.0
901,Oklahoma,2007,2.0,5.15,30.0
902,Oregon,2007,7.8,5.15,169.0
903,Pennsylvania,2007,6.25,5.15,78.0
904,Puerto Rico,2007,3.61,5.15,0.0
905,Rhode Island,2007,7.4,5.15,49.0
906,South Carolina,2007,0.0,5.15,117.0
907,South Dakota,2007,5.15,5.15,37.0
908,Tennessee,2007,0.0,5.15,239.0
909,Texas,2007,5.15,5.15,242.0
910,U.S. Virgin Islands,2007,4.3,5.15,0.0
911,Utah,2007,5.15,5.15,57.0
912,Vermont,2007,7.53,5.15,21.0
913,Virginia,2007,5.15,5.15,296.0
914,Washington,2007,7.93,5.15,196.0
915,West Virginia,2007,5.85,5.15,44.0
916,Wisconsin,2007,6.5,5.15,69.0
917,Wyoming,2007,5.15,5.15,21.0
918,Alabama,2008,0.0,5.85,11.0
919,Alaska,2008,7.15,5.85,8.0
920,Arizona,2008,6.9,5.85,185.0
921,Arkansas,2008,6.25,5.85,92.0
922,California,2008,8.0,5.85,1382.0
923,Colorado,2008,7.02,5.85,164.0
924,Connecticut,2008,7.65,5.85,179.0
925,Delaware,2008,7.15,5.85,62.0
926,District of Columbia,2008,7.0,5.85,42.0
927,Florida,2008,6.79,5.85,153.0
928,Georgia,2008,5.15,5.85,12.0
929,Guam,2008,5.85,5.85,0.0
930,Hawaii,2008,7.25,5.85,0.0
931,Idaho,2008,5.85,5.85,30.0
932,Illinois,2008,7.75,5.85,120.0
933,Indiana,2008,5.85,5.85,61.0
934,Iowa,2008,7.25,5.85,33.0
935,Kansas,2008,2.65,5.85,115.0
936,Kentucky,2008,5.85,5.85,79.0
937,Louisiana,2008,0.0,5.85,67.0
938,Maine,2008,7.0,5.85,63.0
939,Maryland,2008,6.15,5.85,100.0
940,Massachusetts,2008,8.0,5.85,336.0
941,Michigan,2008,7.15,5.85,577.0
942,Minnesota,2008,5.25,5.85,164.0
943,Mississippi,2008,0.0,5.85,4.0
944,Missouri,2008,6.65,5.85,99.0
945,Montana,2008,4.0,5.85,28.0
946,Nebraska,2008,5.85,5.85,100.0
947,Nevada,2008,6.33,5.85,94.0
948,New Hampshire,2008,6.5,5.85,45.0
949,New Jersey,2008,7.15,5.85,744.0
950,New Mexico,2008,6.5,5.85,9.0
951,New York,2008,7.15,5.85,605.0
952,North Carolina,2008,6.15,5.85,124.0
953,North Dakota,2008,5.85,5.85,16.0
954,Ohio,2008,7.0,5.85,355.0
955,Oklahoma,2008,2.0,5.85,54.0
956,Oregon,2008,7.95,5.85,191.0
957,Pennsylvania,2008,7.15,5.85,70.0
958,Puerto Rico,2008,3.61,5.85,0.0
959,Rhode Island,2008,7.4,5.85,35.0
960,South Carolina,2008,0.0,5.85,154.0
961,South Dakota,2008,5.85,5.85,44.0
962,Tennessee,2008,0.0,5.85,270.0
963,Texas,2008,5.85,5.85,247.0
964,U.S. Virgin Islands,2008,4.3,5.85,0.0
965,Utah,2008,5.85,5.85,40.0
966,Vermont,2008,7.68,5.85,22.0
967,Virginia,2008,5.85,5.85,267.0
968,Washington,2008,8.07,5.85,240.0
969,West Virginia,2008,6.55,5.85,46.0
970,Wisconsin,2008,6.5,5.85,95.0
971,Wyoming,2008,5.15,5.85,6.0
972,Alabama,2009,0.0,6.55,9.0
973,Alaska,2009,7.15,6.55,9.0
974,Arizona,2009,7.25,6.55,219.0
975,Arkansas,2009,6.25,6.55,75.0
976,California,2009,8.0,6.55,1018.0
977,Colorado,2009,7.28,6.55,208.0
978,Connecticut,2009,8.0,6.55,200.0
979,Delaware,2009,7.15,6.55,37.0
980,District of Columbia,2009,7.55,6.55,37.0
981,Florida,2009,7.21,6.55,130.0
982,Georgia,2009,5.15,6.55,11.0
983,Guam,2009,5.85,6.55,0.0
984,Hawaii,2009,7.25,6.55,0.0
985,Idaho,2009,6.55,6.55,35.0
986,Illinois,2009,8.0,6.55,129.0
987,Indiana,2009,6.55,6.55,55.0
988,Iowa,2009,7.25,6.55,17.0
989,Kansas,2009,2.65,6.55,122.0
990,Kentucky,2009,6.55,6.55,153.0
991,Louisiana,2009,0.0,6.55,13.0
992,Maine,2009,7.25,6.55,50.0
993,Maryland,2009,6.55,6.55,102.0
994,Massachusetts,2009,8.0,6.55,317.0
995,Michigan,2009,7.4,6.55,315.0
996,Minnesota,2009,5.25,6.55,153.0
997,Mississippi,2009,0.0,6.55,2.0
998,Missouri,2009,7.05,6.55,125.0
999,Montana,2009,4.0,6.55,28.0
1000,Nebraska,2009,6.55,6.55,78.0
1001,Nevada,2009,6.55,6.55,48.0
1002,New Hampshire,2009,7.25,6.55,26.0
1003,New Jersey,2009,7.15,6.55,549.0
1004,New Mexico,2009,7.5,6.55,15.0
1005,New York,2009,7.15,6.55,641.0
1006,North Carolina,2009,6.55,6.55,103.0
1007,North Dakota,2009,6.55,6.55,14.0
1008,Ohio,2009,7.3,6.55,303.0
1009,Oklahoma,2009,2.0,6.55,60.0
1010,Oregon,2009,8.4,6.55,131.0
1011,Pennsylvania,2009,7.15,6.55,36.0
1012,Puerto Rico,2009,4.1,6.55,0.0
1013,Rhode Island,2009,7.4,6.55,35.0
1014,South Carolina,2009,0.0,6.55,109.0
1015,South Dakota,2009,6.55,6.55,42.0
1016,Tennessee,2009,0.0,6.55,171.0
1017,Texas,2009,6.55,6.55,165.0
